	wavelength	bin_width	rp^2_value	rp^2_errorneg	rp^2_errorpos
0	2.8435502	0.01392839999999973	0.022317093767425838	0.00015123130463898056	0.00015123130463898056
0	2.8713045499999996	0.013818899999999967	0.021990914536814052	0.00012567486097474185	0.00012567486097474185
0	2.89882025	0.013696900000000234	0.022257346715570073	0.00010183796416398953	0.00010183796416398953
0	2.9193053	0.0	0.0220584374006245	0.0001821678138753	0.0001821678138753
0	2.9531274	0.013456399999999924	0.021807850695876724	0.00015376949808552334	0.00015376949808552334
0	2.9799211000000003	0.013338999999999768	0.021826881370026353	0.00015793091659522298	0.00015793091659522298
0	3.0131004	0.0	0.0217383829233319	0.000315732199996	0.000315732199996
0	3.03939	0.0	0.0219650586415685	0.00022164347876569998	0.00022164347876569998
0	3.0589593500000003	0.013010700000000153	0.021458077698081165	0.00016397485111951837	0.00016397485111951837
0	3.0848751500000002	0.012905699999999687	0.021726449562205926	0.0001343917806936444	0.0001343917806936444
0	3.1105835	0.012802999999999898	0.021518044409720955	8.460988236184154e-05	8.460988236184154e-05
0	3.1360886	0.012702400000000225	0.021533319391590956	0.0001646529989513488	0.0001646529989513488
0	3.16139435	0.012603700000000106	0.021465844883531846	0.00015318835129025533	0.00015318835129025533
0	3.1927586	0.0	0.0217783922957178	0.00016385919971255002	0.00016385919971255002
0	3.21142365	0.012412099999999704	0.02154153022785961	0.00013516657524331274	0.00013516657524331274
0	3.23615465	0.0123192999999997	0.021197973449573925	0.00018285221746469984	0.00018285221746469984
0	3.2668161	0.0	0.0212445898332319	0.000175603017641	0.000175603017641
0	3.2850691000000003	0.0121389999999999	0.021167014186667804	0.00015278846506627168	0.00015278846506627168
0	3.3152852	0.0	0.0212128958472089	0.00022859592390335	0.00022859592390335
0	3.33327675	0.01196570000000019	0.021509336277258404	0.0001556895297640101	0.0001556895297640101
0	3.3630643	0.0	0.0213956271482335	0.00022269895406394996	0.00022269895406394996
0	3.3808038500000004	0.011798900000000057	0.021564325664999492	0.000135545822854449	0.000135545822854449
0	3.4043202	0.0117178	0.021535331401560154	0.00015793155470455759	0.00015793155470455759
0	3.42768025	0.011642900000000012	0.02150199097456922	0.00016542916359794704	0.00016542916359794704
0	3.4566727	0.0	0.0211458575496833	0.00026288738853009997	0.00026288738853009997
0	3.4739448	0.011489199999999755	0.02160413964301371	0.0001437101151919398	0.0001437101151919398
0	3.49684695	0.011413099999999954	0.021427812386699174	0.000162298642312945	0.000162298642312945
0	3.51959965	0.01133969999999973	0.021407228094058678	0.00015756586776094435	0.00015756586776094435
0	3.542205	0.011265999999999998	0.02111912975700156	0.000194340626787025	0.000194340626787025
0	3.5646656	0.011194800000000171	0.021279219816181857	0.00016749132368499564	0.00016749132368499564
0	3.5869837	0.0111235999999999	0.021442450615557107	0.00018444244140870434	0.00018444244140870434
0	3.6091622	0.011054800000000142	0.021035395638416405	0.00017654860667729795	0.00017654860667729795
0	3.63120315	0.010986299999999893	0.02147812763479602	0.0001805378618338719	0.0001805378618338719
0	3.6531073999999997	0.010917200000000182	0.021214829790312847	0.00017881963997646354	0.00017881963997646354
0	3.669448	0.0	0.0216332323777657	0.00023708678589539999	0.00023708678589539999
0	3.6965026500000002	0.01078269999999959	0.021097420251774614	0.0001791137778450348	0.0001791137778450348
0	3.7180044	0.01071920000000004	0.02112268185627809	0.00019997802014889464	0.00019997802014889464
0	3.7393805999999996	0.010656800000000022	0.021395492477044444	0.00018022092317412493	0.00018022092317412493
0	3.7606319	0.01059460000000012	0.021292163543316475	0.00018165678288926328	0.00018165678288926328
0	3.78176035	0.010534100000000102	0.020973306780541413	0.00018273167000699075	0.00018273167000699075
0	3.8027682	0.010474199999999989	0.02113917758824768	0.00020481772650248465	0.00020481772650248465
0	3.828865	0.0	0.0209951072227607	0.0003123609770029	0.0003123609770029
0	3.84443	0.010357400000000183	0.021040018322050203	0.00024568630195955676	0.00024568630195955676
0	3.8650873	0.010300200000000093	0.02105198837147258	0.00021401235865438798	0.00021401235865438798
0	3.8907518	0.0	0.0205603870337844	0.0005105481882351	0.0005105481882351
0	3.9111483	0.0	0.0213234422612316	0.00026195036319155	0.00026195036319155
0	3.9263696	0.010129200000000171	0.020984936167977496	0.00023871778257204934	0.00023871778257204934
0	3.9465741999999997	0.010075599999999962	0.021386254199399993	0.00017583577656236918	0.00017583577656236918
0	3.9666724999999996	0.010022399999999987	0.021273272881612	0.00017503386399307118	0.00017503386399307118
0	3.986665	0.009970000000000034	0.021114668872187006	0.0001931651399896713	0.0001931651399896713
0	4.00655375	0.009918499999999497	0.02178909918219602	0.00020950948620419467	0.00020950948620419467
0	4.026339999999999	0.009867999999999988	0.021528394209335985	0.00018554230753012972	0.00018554230753012972
0	4.0460258499999995	0.009818300000000058	0.021328809093639024	0.0002448179623389492	0.0002448179623389492
