	wavelength	bin_width	rp^2_value	rp^2_errorneg	rp^2_errorpos
0	2.8435502	0.01392839999999973	0.022221858466768385	0.0001297657768227257	0.0001297657768227257
0	2.8713045499999996	0.013818899999999967	0.021978316934447573	0.00012885407354446468	0.00012885407354446468
0	2.89882025	0.013696900000000234	0.022251060002537133	0.00011275967144263653	0.00011275967144263653
0	2.9260936500000003	0.01357670000000022	0.021974742696701053	0.00013897562157377138	0.00013897562157377138
0	2.9531274	0.013456399999999924	0.021850489775400727	0.00015472901978037391	0.00015472901978037391
0	2.9799211000000003	0.013338999999999768	0.021795022120189564	0.0001446830490675497	0.0001446830490675497
0	3.0064868999999996	0.0132270000000001	0.021781733980891903	0.00013011404144675398	0.00013011404144675398
0	3.03283125	0.013117499999999893	0.021899756881436385	0.00018766097327021507	0.00018766097327021507
0	3.0589593500000003	0.013010700000000153	0.021288080749757157	0.0001681063864859108	0.0001681063864859108
0	3.0848751500000002	0.012905699999999687	0.0216913253769309	0.00016013287120914953	0.00016013287120914953
0	3.1105835	0.012802999999999898	0.0216525111727337	0.00013171007841411838	0.00013171007841411838
0	3.1360886	0.012702400000000225	0.02151705110164375	0.0001956752075942748	0.0001956752075942748
0	3.16139435	0.012603700000000106	0.021457360883892995	0.00015938941375164695	0.00015938941375164695
0	3.1865050999999998	0.012506999999999824	0.021701973194669117	0.00013876837705196923	0.00013876837705196923
0	3.21142365	0.012412099999999704	0.021592947001653075	0.00015851590501830728	0.00015851590501830728
0	3.23615465	0.0123192999999997	0.021129309928167937	0.00016133880153678927	0.00016133880153678927
0	3.26070205	0.012228099999999742	0.021333409619761993	0.00014924596868394209	0.00014924596868394209
0	3.2850691000000003	0.0121389999999999	0.021207883474585198	0.00017710874953520494	0.00017710874953520494
0	3.3092594	0.01205159999999994	0.02099297483862451	0.00017654388956239573	0.00017654388956239573
0	3.33327675	0.01196570000000019	0.021542117857745756	0.00018277430299291838	0.00018277430299291838
0	3.35712365	0.011881300000000206	0.021477659036140826	0.00016984740621044502	0.00016984740621044502
0	3.3808038500000004	0.011798900000000057	0.021530797216498917	0.00016350502836270185	0.00016350502836270185
0	3.4043202	0.0117178	0.021508650330713967	0.00017439164023978025	0.00017439164023978025
0	3.42768025	0.011642900000000012	0.02141479960171948	0.00019480233222640933	0.00019480233222640933
0	3.4508898500000003	0.01156569999999979	0.021294894193506313	0.0001474409044743214	0.0001474409044743214
0	3.4739448	0.011489199999999755	0.021614971166930372	0.00015637978931534572	0.00015637978931534572
0	3.49684695	0.011413099999999954	0.021477325774136462	0.0001911583651505887	0.0001911583651505887
0	3.51959965	0.01133969999999973	0.021308766694910074	0.0001812439454890166	0.0001812439454890166
0	3.542205	0.011265999999999998	0.02126089610072769	0.00021306288787689354	0.00021306288787689354
0	3.5646656	0.011194800000000171	0.021303013577250948	0.00023582821801595757	0.00023582821801595757
0	3.5869837	0.0111235999999999	0.021414885006005677	0.0002188004302050151	0.0002188004302050151
0	3.6091622	0.011054800000000142	0.021054402117829073	0.0001673070833213547	0.0001673070833213547
0	3.63120315	0.010986299999999893	0.021370534886604415	0.00021655679705630268	0.00021655679705630268
0	3.6531073999999997	0.010917200000000182	0.021189355492943224	0.0002262219795320241	0.0002262219795320241
0	3.6748719999999997	0.010847999999999747	0.021570185169157548	0.0001455808803816785	0.0001455808803816785
0	3.6965026500000002	0.01078269999999959	0.02099298143663294	0.00021453784405626105	0.00021453784405626105
0	3.7180044	0.01071920000000004	0.021078441177455113	0.0002178036178263017	0.0002178036178263017
0	3.7393805999999996	0.010656800000000022	0.02131947422547852	0.00018463503158103363	0.00018463503158103363
0	3.7606319	0.01059460000000012	0.021197129655946313	0.00022682683675564116	0.00022682683675564116
0	3.78176035	0.010534100000000102	0.020944853597866315	0.00021830968847381718	0.00021830968847381718
0	3.8027682	0.010474199999999989	0.02106866886384118	0.00020997786927773763	0.00020997786927773763
0	3.82365735	0.010415300000000016	0.02099617374907329	0.00021778324548930254	0.00021778324548930254
0	3.84443	0.010357400000000183	0.02101949526855037	0.000269478998124569	0.000269478998124569
